Enfermedad,Abstract,Tratamiento,Diagnostico
Hiperparatiroidismo,"El hiperparatiroidismo es una alteración que consiste en que las glándulas paratiroideas segregan mayor cantidad de hormona paratiroidea, reguladora del calcio, magnesio y fósforo en la sangre y hueso.","Consistirá en la administración de fosfatos, hormona del crecimiento, y, si hubiera tumor hipersecretante, extirpación quirúrgica.


== Referencias ==","Los niveles analíticos de la hipercalcemia o las concentraciones elevadas de paratohormona y fosfatasa alcalina aportan datos muy importantes para concluir el diagnóstico de la enfermedad. También la radiografía, la ecografía, la gammagrafía o el TAC serían útiles."
Alveolitis alérgica extrínseca,"La alveolitis alérgica o neumonitis por hipersensibilidad,  es un síndrome que comprende un grupo de enfermedades, caracterizado por la respuesta pulmonar a la inhalación repetida de una variedad de polvos orgánicos u hongos, causando una respuesta inmunitaria. Existen tres formas clínicas:","El mejor tratamiento es evitar el alérgeno provocador, ya que la exposición crónica puede causar daño permanente y la enfermedad aguda a menudo es autolimitada. La identificación del antígeno provocador y su ubicación deben determinarse mediante la realización de una evaluación de la exposición. La limpieza del hogar es un método para evitar los antígenos.[3]​ Si no es posible evitarlo, como en el caso de algunas exposiciones en el lugar de trabajo, se puede lograr minimizar la exposición a través de varios medios, incluida la implementación de PPE o la ventilación adecuada del lugar de trabajo.  Los corticosteroides como la prednisolona pueden ayudar a controlar los síntomas , pero pueden producir efectos secundarios En el caso de fibrosis pulmonar grave en etapa terminal que surge de la exposición crónica, el trasplante de pulmón puede ser la única opción viable.


== Referencias ==","Existen datos inespecíficos y específicos. Entre los inespecíficos encontramos leucocitosis en las formas agudas, a veces eosinofilia en el análisis de sangre. La hipergammaglobulinemia, excepto de IgE, es casi universal. Entre los datos específicos resalta el hallazgo de anticuerpo específico contra el antígeno de la partícula orgánica inhalada."
Hipertensión arterial,"La hipertensión arterial (HTA) es una enfermedad crónica caracterizada por un incremento continuo de las cifras de la presión sanguínea por encima de los límites sobre los cuales aumenta el riesgo cardiovascular. De acuerdo con numerosos estudios internacionales, la morbilidad y mortalidad de causa cardiovascular tiene una relación directa con el aumento de las cifras de presión sistólica sostenida por encima de 139 mmHg o una presión diastólica sostenida mayor de 89 mmHg tanto para las complicaciones de la enfermedad coronaria como para los accidentes vasculares cerebrales, la insuficiencia cardiaca, la enfermedad vascular periférica y la insuficiencia renal.[9]​[10]​[11]​","El tratamiento de la hipertensión arterial está asociado a una reducción de la incidencia de derrame cerebral de un 35-40%, de infarto agudo de miocardio entre 20-25% y de insuficiencia cardíaca en más de un 50%.[33]​
La literatura afirma que la adherencia al tratamiento define el éxito terapéutico, y que a su vez la adherencia depende del sexo, la educación, el ambiente y la relación con el médico. Sin embargo, realmente no se ha encontrado ninguna de esas relaciones, lo que hace urgente estudios más rigurosos[44]​
Se indica tratamiento para la hipertensión a:

pacientes con cifras tensionales diastólicas mayores de 90 mmHg o sistólica mayores de 140 mmHg en mediciones repetidas;
pacientes con una tensión diastólica menor que 89 mmHg con una tensión sistólica mayor que 160 mmHg;
pacientes con una tensión diastólica de 85 a 90 mmHg que tengan diabetes mellitus o con arteroesclerosis vascular demostrada.Los pacientes prehipertensos o que no califiquen para recibir tratamiento específico deben ajustar sus hábitos modificables, entre ellos:

pérdida de peso en pacientes con sobrepeso u obesidad, fundamentalmente con ejercicio y una dieta rica en frutas, vegetales y productos lácteos libres de grasa (véase: Dieta DASH);[45]​[46]​
limitación del consumo de bebidas alcohólicas a no más de 30 mL de etanol diarios en varones (es decir, 720 mL [24 oz] de cerveza, 300 mL [10 oz] de vino, 60 mL [2 oz] de whisky) o 15 mL (0,5 oz) de etanol por día en mujeres o en varones con peso más liviano;[13]​
reducción de la ingesta diaria de cloruro de sodio (sal común de mesa) a no más de 6 gramos (2,4 gramos de sodio);[47]​[48]​Hay una revisión actualizada de la Cochrane Library en la que compara la evidencia de los distintos fármacos en el tratamiento de la HTA.[49]​
El Séptimo Comité sugiere, como línea inicial medicamentosa para la hipertensión, las siguientes estipulaciones:

pacientes prehipertensos, es decir, con una presión arterial de 120-139/80-89: no se indican medicamentos.
hipertensión arterial estadio 1 (140-159/90-99): diuréticos tipo tiazida se recomiendan para la mayoría de los pacientes. Los IECA, ARA-II, beta bloqueantes, bloqueante de los canales de calcio o una combinación de estos puede que sea considerada.
hipertensión arterial estadio 2, con una presión arterial mayor de 160/100: combinación de dos fármacos, usualmente un diurético tiazida con un IECA, ARA-II, beta bloqueante o BCC.Además del tratamiento medicamentoso, en todos los pacientes (independientemente del estadio) se procurará ajustar los hábitos modificables antes señalados.",
Hipertrigliceridemia,"La hipertrigliceridemia es la presencia de una concentración de triglicéridos en la sangre superior a 150 mg/dl. Se asocia al aumento del riesgo de desarrollar enfermedad coronaria, si bien el ajuste estadístico por otros factores de riesgo atenúa su nivel de influencia en forma independiente. La hipertrigliceridemia muy elevada, se asocia con el desarrollo de pancreatitis.[1]​[2]​[3]​[4]​[5]​",,"El diagnóstico se realiza directamente de la medición de los triglicéridos en plasma. En la mayoría de los individuos, las diferencias en el nivel de TG en ayunas plasmáticas y no en ayunas son pequeñas. En el período postprandial, tanto las lipoproteínas derivadas intestinal como hepáticamente se pueden medir en la circulación, lo que representa un reflejo potencialmente más preciso de la carga de lipoproteínas aterogénicas en un período de 24 horas.[9]​ Independientemente de esto, se debe tener en cuenta que la fluctuación diaria en los niveles de TG es más pronunciada que para el colesterol LDL.[8]​
En la atención primaria, la medición de los niveles de lípidos no en ayunas se considera adecuada para el cribado inicial, dadas sus ventajas como la conveniencia y la facilidad de muestreo.[9]​ Sin embargo en ciertos pacientes como los que se indican en la siguiente tabla es más conveniente la muestra en ayunas.[8]​ 

Los pacientes con hipertrigliceridemia generalmente tienen aumento del colesterol total, disminución del colesterol HDL y niveles normales a bajos de colesterol LDL. El aumento en el colesterol total se explica por el hecho de que todas las lipoproteínas ricas en triglicéridos también contienen colesterol, que luego eleva el nivel de colesterol total.[8]​
Numerosos estudios epidemiológicos y metaanálisis han demostrado una asociación positiva de los TG con el riesgo de ASCVD. Los niveles de TG sin ayuno . mmol / L (440 mg / dL) se asociaron con un aumento de 4.6 veces y 16.8 veces en el riesgo de infarto al miocardio para hombres y mujeres. Sin embargo, la asociación se atenuó después del ajuste para HDL-C y no fue significativa después del ajuste para no HDL-C.[9]​ El parámetro colesterol no-HDL especifica la cantidad de colesterol asociado con lipoproteínas ricas en triglicéridos (colesterol VLDL o colesterol remanente). La ventaja de determinar el colesterol no HDL es que la concentración de todas las lipoproteínas aterogénicas se puede estimar midiendo un solo parámetro.[8]​
Las mediciones de concentración de apolipoproteína B, fenotipo de apolipoproteína E y pruebas genéticas se reservan para situaciones especiales, Siempre que un paciente sea diagnosticado con hipertrigliceridemia, el primer paso es descartar causas secundarias.[8]​"
Hipocalcemia,"La hipocalcemia es el trastorno hidroelectrolítico consistente en un nivel sérico de calcio total menor de 2.1 mmol/ml u 8.5 mg/dL en seres humanos, y presenta efectos fisiopatológicos. También puede ocurrir como consecuencia de disminución de la fracción del calcio ionizado: los niveles bajos de calcio incrementan la permeabilidad de la membrana neuronal a los iones sodio, provocando una despolarización progresiva que aumenta la posibilidad de potenciales de acción,[1]​ observándose un acrecentamiento del nivel de contracción muscular o incluso tetania. ","En general la hipocalcemia de por sí es indicación de tratamiento, aún la asintomática por el peligro de la aparición de síntomas que pueden poner en peligro la vida del paciente.
El tratamiento está orientado a corregir la causa de la hipocalcemia. La reposición del calcio puede hacerse por vía oral o intravenosa. En los casos de hipocalcemia sintomática severa es necesario utilizar la vía I.V.
Se administran 10 a 20 ml de gluconato de calcio al 10% IV a una velocidad menor a 2 ml/minuto, bajo vigilancia electrocardiográfica (especialmente en los pacientes que reciben digitálicos) y después 15 a 20 mg de calcio elemental por kilogramo de peso corporal en 1000 ml de dextrosa al 5% en AD en un período de 8-12 horas. Cada ampolla de 10 ml de gluconato de calcio al 10% tiene 90 mg de calcio elemental. Se deben tomar determinaciones séricas cuando menos cada seis horas para vigilar la respuesta al tratamiento y decidir el momento en que se puede cambiar a una preparación oral (carbonatos de calcio).
La infiltración de una solución parenteral produce necrosis de los tejidos. Por ello se debe tener máximo cuidado en la colocación de la infusión y en su control permanente. No se debe añadir calcio a soluciones intravenosas que contengan bicarbonato o fosfato por el fenómeno de precipitación.
Se debe tener precaución en los casos de hipoalbubinemia donde se aprecia una hipocalcemia ficticia, puesto que el nivel de calcio ionizado es normal. El ajuste se realiza considerando que por cada g/100 ml de disminución de la albúmina sérica (a partir de 4 g/100 ml) disminuye el calcio sérico 0,75 mg/100 ml.
Para que se produzca una repleción adecuada de calcio, los niveles séricos de magnesio deben ser normales.","El diagnóstico de la hipocalcemia se basa en las manifestaciones clínicas, los hallazgos electrocardiográficos y se confirma por la medición de los niveles séricos de calcio total y/o calcio iónico. La titulación del PTH sirve para identificar hipoparatiroidismo, y la de los niveles de fósforo y magnesio pueden aclarar la etiología."
Hipocondría,"La hipocondría o hipocondriasis es una condición en la cual el paciente presenta una preocupación excesiva con respecto a padecer alguna enfermedad grave. El origen del término hace referencia a una región anatómica, el hipocondrio, situada bajo las costillas y el apófisis xifoides del esternón, donde, según la escuela médica humoral, se creía que se acumulaban los vapores causantes de este mal.[1]​ La hipocondría es, en esencia, una actitud que el individuo adopta ante la enfermedad. La persona hipocondríaca se somete, constantemente, a un autoanálisis minucioso y preocupado, incluso obsesivo, de las funciones fisiológicas básicas, y piensa en ellas como una fuente de segura enfermedad biológica.[2]​",,"La hipocondría hay que distinguirla de los rasgos de personalidad aprensiva; en la hipocondría, el malestar es significativo y afecta la vida laboral, social u otras áreas importantes de la vida del sujeto. Hay que considerar también que la duración de la sintomatología sea significativa, al menos 6 meses, antes de diagnosticar dicha enfermedad.[6]​
Se debe asegurar que el paciente no tenga verdaderamente ninguna enfermedad física. Una vez que se ha descartado, si el paciente sigue con angustia, preocupación y dudas acerca de su estado de salud, es conveniente estudiar la posibilidad de que se trate de un trastorno psicológico.
Los Criterios Diagnósticos de Investigación (CIE 10) para la hipocondría especifican que debe existir la convicción de «estar padeciendo como máximo dos enfermedades médicas importantes» y exigen que, por lo menos, una de ellas sea correcta y específicamente nombrada por quien está presentando el trastorno hipocondríaco.
La actitud hipocondríaca aparece como un síntoma en algunas formas de depresión endógena, especialmente en la melancolía involutiva (depresión en la tercera edad). También puede adquirir en ciertos casos los rasgos de un desarrollo delirante, de contenido hipocondríaco, en la llamada paranoia hipocondríaca. Multitud de neuróticos, tanto histéricos como neurasténicos, organoneuróticos y los pacientes psicosomáticos, destacan en su cuadro clínico general la actitud hipocondríaca."
Hipotiroidismo,"El hipotiroidismo es una enfermedad del sistema endocrino caracterizada por la acción ineficiente de las hormonas tiroideas en el organismo,[1]​ principalmente por una producción deficiente en la glándula tiroidea (hipotiroidismo primario). También puede producirse por una estimulación deficiente de la glándula tiroides debido a un trastorno que altere la producción de la hormona tiroestimulante en el sistema hipotálamo-hipofisafio (hipotiroidismo secundario).[2]​","El hipotiroidismo se trata con levotiroxina, cuya dosis puede variar según los resultados de laboratorio.
Es frecuente encontrar una parte de pacientes que no responden adecuadamente al tratamiento y necesitan dosis inesperadamente elevadas de levotiroxina, o cuya respuesta al tratamiento es irregular, necesitando frecuentes ajustes de las dosis de medicación, con períodos de dosis más altas o más bajas. Este hecho es un indicio, habitualmente ignorado, de que el fármaco no se está absorbiendo correctamente en el intestino. Las principales razones incluyen enfermedades gastrointestinales no diagnosticadas (especialmente la enfermedad celíaca, frecuentemente asociada y no reconocida), interacciones con otros tratamientos, intolerancia a ciertos excipientes (como el gluten en enfermos celíacos) o el momento de ingestión del fármaco en relación con las comidas y bebidas, incluyendo el café.[12]​
Es controvertido el tema de si se debe dar tratamiento a un paciente con hipotiroidismo subclínico, pero en algunos casos estaría indicado como ser: mujeres embarazadas, niños, dislipidemia, depresión, etc. Todo tratamiento debe ser valorado y individualizado por el médico.","La única prueba validada para diagnosticar el hipotiroidismo primario es la medida de la hormona estimulante del tiroides (TSH) y de la tiroxina libre (T4-L). Sin embargo, sus niveles pueden verse afectados por enfermedades no tiroideas."
Síndrome de Bertolotti,"El síndrome de Bertolotti o mega apófisis transversa es una anormalidad anatómica en humanos descubierta como un hallazgo radiológico. Se presenta como un dolor de espalda que ocurre debido a las vértebras transicionales lumbosacras. Es una afección congénita, pero generalmente no es sintomática hasta después de los veinte o principios de los treinta años.[1]​ Sin embargo, hay algunos casos de Bertolotti que se vuelven sintomáticos a una edad mucho más temprana.","Los tratamientos no quirúrgicos incluyen inyecciones de esteroides en la zona lumbar o ablación sensorial por radiofrecuencia.[5]​ Las intervenciones de fisioterapia también son útiles en los primeros casos y se centran en la movilización, el estiramiento neural y los ejercicios de fortalecimiento del núcleo. La intervención quirúrgica suele ser un último recurso si todos los métodos conservadores fallan.[6]​ Puede tratarse quirúrgicamente con fusión posterolateral o resección de la articulación transicional.[cita requerida]",El diagnóstico depende del historial apropiado del paciente respaldado por estudios de imágenes como rayos X y resonancia magnética. Las radiografías de la columna lumbosacra ayudan a identificar la anomalía esquelética. La resonancia magnética ayuda en la confirmación.[cita requerida]
Cáncer de la ampolla de Vater,"El cáncer ampular, cáncer de la ampollla de Vater o carcinoma del ámpula de Vater, es una neoplasia poco frecuente, de la estructura compuesta por la confluencia del conducto colédoco y el conducto pancreático, que desembocan en el lumen del duodeno a través de una pequeña protuberancia en la mucosa que recibe el nombre de papila duodenal mayor.[1]​","En la mayoría de los pacientes con cáncer ampular (probabilidad por encima del 50%) la cirugía curativa es exitosa en comparación con los pacientes con adenocarcinoma de páncreas (probabilidad por debajo del 10%).[10]​[2]​
Se proponen tres opciones para tratar esta patología, las cuales son:

Pancreaticoduodenectomía (procedimiento de Whipple)
Ampulectomía quirúrgica (escisión local quirúrgica)
Ampulectomía endoscópica[1]​","El diagnóstico de las neoplasias del área ""periampular""  es difícil, porque en el ""área del ámpula"", concurren las patologías pancreáticas, del tercio distal del conducto biliar común, el conducto pancreático y la mucosa duodenal adyacente.
El 95% de las lesiones del ámpula de Vater diagnosticadas por endoscopía son adenomas o adenocarcinomas.[8]​
Existen diversos métodos diagnósticos, cada uno con sus ventajas y desventajas:

Tomografía computarizada de abdomen con/sin medio de contrasteVentajas: Es un procedimiento rápido que facilita la observación de anormalidades vasculares e incluso puede observar la existencia de metástasis a nivel hepático.
Desventajas: Posee pobre sensibilidad para el diagnóstico de lesiones ""periampulares"". Implica la exposición a radiación ionizante. El medio de contraste utilizado puede generar nefrotoxicidad por lo cual tiene poca utilidad en aquellos pacientes con insuficiencia renal.Resonancia magnética con medio de contrasteVentajas: Detecta pequeñas lesiones hepáticas, el medio de contraste utilizado no causa lesión renal y es un método que no utiliza radiación ionizante.
Desventajas: Posee pobre sensibilidad para el diagnóstico de lesiones ""periampulares"". Es un procedimiento caro y prolongado.Colangiopancreatografía retrógada endoscópica (CPRE)Ventajas: Sirve como método diagnóstico y como medida terapéutica.
Desventajas: Se considera un método invasivo e incrementa el riesgo de infección postquirúrgica.Ultrasonido endoscópicoVentaja: Es útil para delimitar anatómicamente la lesión.
Desventajas: Se considera un método invasivo y puede provocar una pancreatitis luego del procedimiento.[9]​"
Periodontitis,"La periodontitis es una enfermedad que inicialmente cursa con gingivitis, para luego proseguir con una pérdida de inserción colágena, recesión gingival y la pérdida de hueso, en el caso de no ser tratada, dejando sin soporte óseo al diente. La pérdida de dicha base de apoyo implica la pérdida irreparable del diente.","Consiste en la eliminación de los biofilms bacterianos mediante diferentes estrategias de tratamiento:

Mecánico: Se debe instruir al paciente las técnicas de cepillado adecuada a sus necesidades, realizar raspado coronal o eliminación de placa y cálculos supragingivales, raspado y alisado radicular para el desbridamiento de las bolsas periodontales y la terapia de mantenimiento para el control a largo plazo de las enfermedades periodontales.Antibiótico: Debe estar auxiliado por el cultivo bacteriano y el antibiograma. Debe tenerse en cuenta que el antibiótico de elección debe tener un amplio espectro de actividad que asegure la cobertura de patógenos aeróbicos y anaeróbicos. La amoxicilina junto con el ácido clavulánico a dosis altas puede considerarse una buena elección de tratamiento antiinfeccioso. No sustituye al tratamiento mecánico, sino que sirve de adyuvante.Quirúrgico: En casos graves en los que la profundidad de las bolsas limitan la visibilidad y acceso, está indicada la terapia quirúrgica. El desbridamiento con colgajo para las bolsas profundas es el tratamiento básico. Si es necesario se hace osteoplastia y ostectomía para que la anatomía del hueso sea compatible con la salud periodontal. La cirugía periodontal regenerativa es una modalidad contemporánea para el manejo quirúrgico de los defectos periodontales. Existen diferentes modalidades para la regeneración periodontal. Unas de las técnicas utilizadas son la regeneración tisular guiada, en la cual se usan materiales de injerto y membranas; otra técnica es el uso de proteínas de la matriz del esmalte o el uso de plasma rico en factores de crecimiento. Estos tratamientos están indicados una vez que se ha eliminado la mayor cantidad de bacterias posibles.Químico: En algunos casos es necesario el uso de antisépticos como enjugues con digluconato de clorhexidina al 0,12 % para el control bacteriano y como coadyuvante en el tratamiento mecánico.[13]​","El sondeo periodontal es la primera opción para la evaluación de los tejidos periodontales. Los cambios de coloración, tamaño o consistencia de la encía son referencias importantes de alteración gingival. El sangrado espontáneo o durante el cepillado es una señal de alerta cuando está presente la enfermedad. La movilidad y migración dental, el mal aliento, dolor al masticar, abscesos o sangrados abundantes son características que pueden aparecer en estados avanzados de periodontitis.
La periodontitis no se contagia por dar un beso, por beber del mismo vaso o por medio de la saliva. Al principio puede manifestarse por una ligera inflamación gingival, con sangrado discreto de las encías al cepillarse los dientes y un cierto grado de tumefacción y enrojecimiento de las encías.
Su diagnóstico precoz contribuye a un mejor pronóstico ya que es condición necesaria para frenar su evolución cuanto antes.
El signo principal es la formación de una bolsa periodontal por pérdida de inserción y la forma de medirlo es por medio de la sonda periodontal. Este procedimiento de periodotología se llama sondaje periodontal y los dentistas obtienen con él la profundidad de sondaje que sirve para medir la afectación que la enfermedad periodontal y la destrucción de hueso que esta ha provocado. Los valores obtenidos con el sondaje de diagnóstico periodontal servirán de referencia en los mantenimientos periodontales que se deberán realizar cada 3 o 4 meses por el periodontólogo o periodoncista.
Fumar es uno de los factores de riesgo más importantes relacionados con el desarrollo de la periodontitis. Por otra parte, el hábito de fumar o usar productos de tabaco puede disminuir el efecto de algunos tratamientos, además de enmascarar la enfermedad, ya que disminuye el sangrado."
